time,type,sellToken,sellTokenAmount,buyToken,buyTokenAmount,utilityToken,utilityTokenAmount,utilityTokenTotalSupply,balanceOfBaseToken,balanceOfTargetToken,owner,exchangeRate

1661835837.840443,Swapped,0xbe48151AC9825FB3dDedbC7C9bb90d3AafDc1884,10000000,0x213603C6eC0b56158686C4d19325b8349bB552e7,,0x45f577B9df1c9ffCf044Bf21836818c58DbAD058,,0,0,0,,

1661835837.840443,ExchangeRate,0xbe48151AC9825FB3dDedbC7C9bb90d3AafDc1884,,,,0x45f577B9df1c9ffCf044Bf21836818c58DbAD058,,,,,,1000000000000000000

1661835841.947134,Swapped,0xbe48151AC9825FB3dDedbC7C9bb90d3AafDc1884,10000000,0x213603C6eC0b56158686C4d19325b8349bB552e7,,0x45f577B9df1c9ffCf044Bf21836818c58DbAD058,,0,0,0,,

1661835841.947134,ExchangeRate,0xbe48151AC9825FB3dDedbC7C9bb90d3AafDc1884,,,,0x45f577B9df1c9ffCf044Bf21836818c58DbAD058,,,,,,1000000000000000000

1661835846.05915,Swapped,0xbe48151AC9825FB3dDedbC7C9bb90d3AafDc1884,10000000,0x213603C6eC0b56158686C4d19325b8349bB552e7,,0x45f577B9df1c9ffCf044Bf21836818c58DbAD058,,0,0,0,,

1661835846.05915,ExchangeRate,0xbe48151AC9825FB3dDedbC7C9bb90d3AafDc1884,,,,0x45f577B9df1c9ffCf044Bf21836818c58DbAD058,,,,,,1000000000000000000

1661835850.359258,Swapped,0xbe48151AC9825FB3dDedbC7C9bb90d3AafDc1884,10000000,0x213603C6eC0b56158686C4d19325b8349bB552e7,,0x45f577B9df1c9ffCf044Bf21836818c58DbAD058,,0,0,0,,

1661835850.360257,ExchangeRate,0xbe48151AC9825FB3dDedbC7C9bb90d3AafDc1884,,,,0x45f577B9df1c9ffCf044Bf21836818c58DbAD058,,,,,,1000000000000000000

1661835856.504752,Swapped,0xbe48151AC9825FB3dDedbC7C9bb90d3AafDc1884,10000000,0x213603C6eC0b56158686C4d19325b8349bB552e7,,0x45f577B9df1c9ffCf044Bf21836818c58DbAD058,,0,0,0,,

1661835856.504752,ExchangeRate,0xbe48151AC9825FB3dDedbC7C9bb90d3AafDc1884,,,,0x45f577B9df1c9ffCf044Bf21836818c58DbAD058,,,,,,1000000000000000000

1661835860.598803,Swapped,0xbe48151AC9825FB3dDedbC7C9bb90d3AafDc1884,10000000,0x213603C6eC0b56158686C4d19325b8349bB552e7,,0x45f577B9df1c9ffCf044Bf21836818c58DbAD058,,0,0,0,,

1661835860.598803,ExchangeRate,0xbe48151AC9825FB3dDedbC7C9bb90d3AafDc1884,,,,0x45f577B9df1c9ffCf044Bf21836818c58DbAD058,,,,,,1000000000000000000

